State,DemVote,RepVote,Year,South 
Alabama,84.76,15.24,1932,TRUE
Arizona,67.03,32.97,1932,FALSE
Arkansas,86.27,13.73,1932,TRUE
California,58.41,41.59,1932,FALSE
Colorado,54.81,45.19,1932,FALSE
Connecticut,47.4,52.6,1932,FALSE
Delaware,48.11,51.89,1932,FALSE
Florida,74.49,25.51,1932,TRUE
Georgia,91.6,8.4,1932,TRUE
Idaho,58.7,41.3,1932,FALSE
Illinois,55.23,44.77,1932,FALSE
Indiana,54.67,45.33,1932,FALSE
Iowa,57.69,42.31,1932,FALSE
Kansas,53.56,46.44,1932,FALSE
Kentucky,59.06,40.94,1932,FALSE
Louisiana,92.79,7.21,1932,TRUE
Maine,43.19,56.81,1932,FALSE
Maryland,61.5,38.5,1932,FALSE
Massachusetts,50.64,49.36,1932,FALSE
Michigan,52.36,47.64,1932,FALSE
Minnesota,59.91,40.09,1932,FALSE
Mississippi,95.98,4.02,1932,TRUE
Missouri,63.69,36.31,1932,FALSE
Montana,58.8,41.2,1932,FALSE
Nebraska,62.98,37.02,1932,FALSE
Nevada,69.41,30.59,1932,FALSE
New Hampshire,48.99,51.01,1932,FALSE
New Jersey,49.48,50.52,1932,FALSE
New Mexico,62.72,37.28,1932,FALSE
New York,54.07,45.93,1932,FALSE
North Carolina,69.93,30.07,1932,TRUE
North Dakota,69.59,30.41,1932,FALSE
Ohio,49.88,50.12,1932,FALSE
Oklahoma,73.3,26.7,1932,FALSE
Oregon,58,42,1932,FALSE
Pennsylvania,45.33,54.67,1932,FALSE
Rhode Island,55.08,44.92,1932,FALSE
South Carolina,98.03,1.97,1932,TRUE
South Dakota,63.62,36.38,1932,FALSE
Tennessee,66.48,33.52,1932,TRUE
Texas,88.19,11.81,1932,TRUE
Utah,56.52,43.48,1932,FALSE
Vermont,41.08,58.92,1932,FALSE
Virginia,68.46,31.54,1932,TRUE
Washington,57.46,42.54,1932,FALSE
West Virginia,54.47,45.53,1932,FALSE
Wisconsin,63.46,36.54,1932,FALSE
Wyoming,56.07,43.93,1932,FALSE
Alabama,86.38,13.62,1936,TRUE
Arizona,69.85,30.15,1936,FALSE
Arkansas,81.79,18.21,1936,TRUE
California,66.95,33.05,1936,FALSE
Colorado,60.37,39.63,1936,FALSE
Connecticut,55.32,44.68,1936,FALSE
Delaware,54.62,45.38,1936,FALSE
Florida,76.08,23.92,1936,TRUE
Georgia,87.1,12.9,1936,TRUE
Idaho,62.96,37.04,1936,FALSE
Illinois,57.7,42.3,1936,FALSE
Indiana,56.63,43.37,1936,FALSE
Iowa,54.41,45.59,1936,FALSE
Kansas,53.67,46.33,1936,FALSE
Kentucky,58.51,41.49,1936,FALSE
Louisiana,88.82,11.18,1936,TRUE
Maine,41.52,58.48,1936,FALSE
Maryland,62.35,37.65,1936,FALSE
Massachusetts,51.22,48.78,1936,FALSE
Michigan,56.33,43.67,1936,FALSE
Minnesota,61.84,38.16,1936,FALSE
Mississippi,97.03,2.97,1936,TRUE
Missouri,60.76,39.24,1936,FALSE
Montana,69.28,30.72,1936,FALSE
Nebraska,57.14,42.86,1936,FALSE
Nevada,72.81,27.19,1936,FALSE
New Hampshire,49.73,50.27,1936,FALSE
New Jersey,59.54,40.46,1936,FALSE
New Mexico,62.69,37.31,1936,FALSE
New York,58.85,41.15,1936,FALSE
North Carolina,73.4,26.6,1936,TRUE
North Dakota,59.6,40.4,1936,FALSE
Ohio,57.99,42.01,1936,FALSE
Oklahoma,66.83,33.17,1936,FALSE
Oregon,64.41,35.59,1936,FALSE
Pennsylvania,56.88,43.12,1936,FALSE
Rhode Island,52.96,47.04,1936,FALSE
South Carolina,98.57,1.43,1936,TRUE
South Dakota,54.02,45.98,1936,FALSE
Tennessee,68.77,31.23,1936,TRUE
Texas,87.08,12.92,1936,TRUE
Utah,69.34,30.66,1936,FALSE
Vermont,43.24,56.76,1936,FALSE
Virginia,70.23,29.77,1936,TRUE
Washington,66.38,33.62,1936,FALSE
West Virginia,60.56,39.44,1936,FALSE
Wisconsin,63.8,36.2,1936,FALSE
Wyoming,60.58,39.42,1936,FALSE
Alabama,85.22,14.78,1940,TRUE
Arizona,63.49,36.51,1940,FALSE
Arkansas,78.44,21.56,1940,TRUE
California,57.44,42.56,1940,FALSE
Colorado,48.37,51.63,1940,FALSE
Connecticut,53.44,46.56,1940,FALSE
Delaware,54.7,45.3,1940,FALSE
Florida,73.99,26.01,1940,TRUE
Georgia,84.81,15.19,1940,TRUE
Idaho,54.36,45.64,1940,FALSE
Illinois,50.97,49.03,1940,FALSE
Indiana,49.03,50.97,1940,FALSE
Iowa,47.62,52.38,1940,FALSE
Kansas,42.4,57.6,1940,FALSE
Kentucky,57.45,42.55,1940,FALSE
Louisiana,85.88,14.12,1940,TRUE
Maine,48.77,51.23,1940,FALSE
Maryland,58.26,41.74,1940,FALSE
Massachusetts,53.11,46.89,1940,FALSE
Michigan,49.52,50.48,1940,FALSE
Minnesota,51.49,48.51,1940,FALSE
Mississippi,95.7,4.3,1940,TRUE
Missouri,52.27,47.73,1940,FALSE
Montana,58.78,41.22,1940,FALSE
Nebraska,42.81,57.19,1940,FALSE
Nevada,60.08,39.92,1940,FALSE
New Hampshire,53.22,46.78,1940,FALSE
New Jersey,51.55,48.45,1940,FALSE
New Mexico,56.59,43.41,1940,FALSE
New York,51.6,48.4,1940,FALSE
North Carolina,74.03,25.97,1940,TRUE
North Dakota,44.18,55.82,1940,FALSE
Ohio,52.2,47.8,1940,FALSE
Oklahoma,57.41,42.59,1940,FALSE
Oregon,53.7,46.3,1940,FALSE
Pennsylvania,53.23,46.77,1940,FALSE
Rhode Island,56.73,43.27,1940,FALSE
South Carolina,95.63,4.37,1940,TRUE
